WL(nm),WV2 Pan,WV2 Coastal Blue,WV2 Blue,WV2 Green,WV2 Yellow,WV2 Red,WV2 RedEdge,WV2 NIR1,WV2 NIR2
677.5,968.155,0.0163,0.0239,0.001,0.0007,992.107,0.0089,0.001,0.0005
680,977.735,0.0078,0.0243,0.0011,0.0009,983.694,0.0097,0.001,0.0008
682.5,961.332,0.0042,0.0255,0.0006,0.0005,978.311,0.0153,0.0009,0.0002
685,949.217,0.0044,0.0195,0.0009,0.0008,885.28,0.0328,0.0009,0.0002
687.5,946.955,0.0042,0.0134,0.0011,0.0009,632.595,0.0787,0.0012,0.0005
690,953.334,0.0036,0.0126,0.0012,0.0006,291.823,0.2073,0.0013,0.0008
692.5,946.656,0.0042,0.0141,0.0011,0.0009,83.2547,0.7591,0.001,0.0002
695,952.193,0.0066,0.012,0.0009,0.0005,20.4412,3.1275,0.0009,0.0004
697.5,962.47,0.0185,0.0086,0.0008,0.0007,5.6355,18.8368,0.0021,0.0003
700,969.595,0.0264,0.0076,0.0011,0.001,1.9137,99.6101,0.0017,0.0001
702.5,983.968,0.0124,0.0088,0.0011,0.0005,0.8432,346.835,0.0035,0.0002
705,1000,0.0081,0.0101,0.001,0.0009,0.4036,622.908,0.0048,0.0001
707.5,994.32,0.0076,0.009,0.0009,0.0008,0.2037,853.785,0.0064,0.0004
710,994.003,0.0085,0.007,0.0011,0.0007,0.1018,952.792,0.0052,0.0005
712.5,980.974,0.0096,0.0081,0.0009,0.0011,0.0569,978.422,0.0043,0.0007
715,969.563,0.0122,0.0109,0.001,0.0009,0.0272,987.634,0.0039,0.0007
717.5,968.253,0.0292,0.0134,0.0011,0.0008,0.0162,989.026,0.0044,0.0009
720,968.397,0.0976,0.0124,0.0011,0.0012,0.0142,993.901,0.005,0.0009
722.5,973.674,0.0936,0.012,0.0011,0.0011,0.0168,999.858,0.006,0.0006
725,978.855,0.0333,0.0149,0.001,0.0015,0.0133,999.28,0.0066,0.001
727.5,966.847,0.0238,0.0224,0.0013,0.0013,0.0144,989.417,0.0111,0.0009
730,963.741,0.0298,0.031,0.0009,0.0012,0.0132,986.813,0.0162,0.0007
732.5,952.252,0.0442,0.0326,0.0011,0.0011,0.0125,980.962,0.0284,0.0007
735,946.654,0.0669,0.031,0.0008,0.0013,0.0106,977.116,0.044,0.0009
737.5,945.92,0.1526,0.034,0.0008,0.0013,0.0061,944.191,0.0705,0.0011
740,952.938,0.4227,0.0454,0.001,0.001,0.0031,846.399,0.1061,0.0006
742.5,954.759,0.2563,0.0611,0.0012,0.0009,0.0034,615.837,0.1653,0.0009
745,962.583,0.0653,0.0653,0.0008,0.0011,0.0015,359.763,0.2562,0.001
747.5,962.142,0.0414,0.0523,0.001,0.0011,0.0014,138.813,0.4123,0.001
750,956.637,0.0578,0.0415,0.0011,0.001,0.0012,30.5442,0.713,0.0012
752.5,950.381,0.2646,0.042,0.0013,0.0008,0.0004,7.0917,1.3994,0.0009
755,940.962,0.7112,0.051,0.0011,0.0009,0.0006,2.1585,2.8857,0.0008
757.5,936.224,0.4411,0.0638,0.001,0.0008,0.0012,0.73,5.9533,0.0005
760,924.596,0.0894,0.0645,0.0011,0.0008,0.003,0.2699,12.6868,0.0008
762.5,923.379,0.0305,0.0492,0.0012,0.0009,0.005,0.1188,27.6938,0.0007
765,921.684,0.0131,0.0354,0.0014,0.0008,0.0095,0.0553,58.8599,0.0009
767.5,933.568,0.0081,0.03,0.0012,0.0008,0.0073,0.024,123.117,0.0006
770,940.831,0.006,0.032,0.0017,0.0006,0.0067,0.0096,260.204,0.0005
772.5,957.977,0.0059,0.04,0.0035,0.0005,0.0089,0.0069,506.774,0.0011
775,963.832,0.007,0.0444,0.004,0.0005,0.0069,0.0053,759.967,0.001
777.5,958.143,0.0112,0.0393,0.0027,0.0006,0.0049,0.0033,940.58,0.0005
780,941.297,0.0193,0.0299,0.0014,0.0007,0.0055,0.0043,995.805,0.0006
782.5,924.26,0.0331,0.0248,0.001,0.0002,0.0022,0.004,997.622,0.0009
785,903,0.0553,0.0245,0.0008,0.0004,0.0015,0.0051,988.907,0.0009
787.5,895.878,0.1062,0.0294,0.0007,0.0006,0.0005,0.0077,983.091,0.0008
790,887.152,0.2462,0.0405,0.0003,0.0003,0.0022,0.0083,972.934,0.0012
792.5,910.523,0.2458,0.0507,0.0007,0.0004,0.0007,0.0094,958.312,0.1141
795,929.402,0.1162,0.0515,0.0008,0.0006,0.0006,0.0064,941.139,0.4534
797.5,744.019,0.0691,0.0447,0.0011,0.0006,0.0009,0.005,931.907,0.5047
800,553.867,0.1216,0.0595,0.001,0.0234,0.0138,0.0001,919.382,0.7796
802.5,320.246,0.1248,0.0543,0.0026,0.0159,0.014,0.0003,909.08,1.0461
805,85.8164,0.1605,0.0609,0.0009,0.0189,0.0134,0.0003,897.6,0.9763
807.5,51.4292,0.1959,0.0773,0.0002,0.0213,0.0163,0.0003,882.12,1.1133
810,17.2983,0.1637,0.0848,0,0.0113,0.0106,0.0002,871.191,1.0687
812.5,12.0102,0.1168,0.0927,0,0.014,0.0124,0.0003,863.054,1.0909
815,6.5998,0.0928,0.095,0,0.0189,0.0108,0.0002,844.284,1.0955
817.5,4.368,0.0797,0.0805,0,0.02,0.0077,0.0002,836.496,1.1311
820,2.1313,0.073,0.057,0,0.0194,0.0089,0.0002,838.036,1.0945
822.5,1.5356,0.0625,0.0509,0,0.0099,0.009,0.0001,841.189,1.0891
825,0.9222,0.0716,0.051,0,0.0183,0.0079,0.0001,835.657,1.0416
827.5,0.7218,0.0692,0.0429,0.0006,0.0115,0.0043,0.0003,833.819,1.1403
830,0.5287,0.0699,0.0566,0.0051,0.0093,0.0108,0.0002,842.548,1.127
832.5,0.4897,0.0721,0.0641,0.0042,0.0135,0.0045,0.0002,830.777,1.1706
835,0.4497,0.0593,0.0635,0.0018,0.0106,0.007,0.0002,818.604,1.1509
837.5,0.4318,0.0474,0.0645,0.0005,0.0113,0.0065,0.0001,816.837,1.2061
