wavelength_nm,Coastal_Blue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
618.95,1.0888956e-06,6.6459654e-07,9.140841e-08,0.12502202,0.00024740127,9.680682e-06,1.8042359e-09,1.7142202e-08
623.64,4.598511e-07,4.936872e-07,2.4551747e-07,0.11275415,0.0037726727,2.1579428e-05,0.0,2.8216755e-08
628.32,2.9601938e-07,4.918346e-07,7.940273e-07,0.040766526,0.0316287,3.7870072e-06,3.5411614e-09,5.1732062e-08
633.01,3.007449e-07,3.0786015e-07,1.2711967e-06,0.0029643518,0.06842137,4.788422e-07,0.0,1.4459888e-08
637.69,2.5842894e-07,3.241806e-07,2.4152707e-06,0.0002581996,0.072455965,1.7327245e-07,4.65742e-09,2.3205114e-08
642.38,2.6752463e-07,3.276015e-07,2.0177276e-06,3.6947586e-05,0.07799643,8.348029e-08,4.7035145e-09,2.771848e-08
647.06,2.106567e-07,2.806192e-07,1.2050753e-06,1.3275845e-05,0.078981675,2.9792386e-07,1.6927215e-08,3.6458403e-08
651.75,1.8924096e-07,4.4381648e-07,8.116963e-09,3.4844827e-06,0.07839238,7.112946e-07,2.3675973e-08,7.971811e-08
656.43,1.7446278e-07,4.922818e-07,1.488161e-08,1.1728987e-06,0.077887975,1.1455523e-06,2.5536389e-08,7.77408e-08
661.12,1.8760876e-07,1.1290408e-06,2.831146e-08,5.205293e-07,0.07838033,1.3748187e-06,3.314636e-08,4.3372832e-08
665.8,2.5224188e-07,1.5823002e-06,5.466095e-08,2.402753e-07,0.07939852,1.3662985e-06,4.5064525e-08,1.3192898e-08
670.49,4.9343583e-07,3.312836e-06,7.3374856e-08,1.02761085e-07,0.08082206,1.310971e-06,5.0663953e-08,1.36372265e-08
675.17,1.7037896e-06,2.894952e-06,4.498762e-08,9.910003e-08,0.081596375,9.761507e-07,4.2960234e-08,1.4554999e-08
679.86,8.0587193e-07,2.0979599e-06,8.190197e-08,1.1267467e-07,0.080459066,1.146146e-06,4.740253e-08,3.7568046e-08
684.55,4.3428224e-07,1.7916851e-06,6.289637e-08,9.476181e-08,0.07427835,3.385648e-06,4.261786e-08,9.40583e-09
689.23,3.681936e-07,1.0957797e-06,8.825582e-08,8.3690075e-08,0.03169013,1.8067807e-05,6.095288e-08,3.53577e-08
693.92,5.1408875e-07,1.1399349e-06,7.323069e-08,8.264034e-08,0.0031515653,0.00020276551,4.3752593e-08,1.506213e-08
698.6,2.284126e-06,6.888597e-07,6.868616e-08,1.0729801e-07,0.0002832029,0.005045489,9.1665456e-08,9.382936e-09
703.29,1.0376035e-06,8.0249606e-07,8.0597694e-08,7.451026e-08,5.4386714e-05,0.051567297,1.8622123e-07,8.293837e-09
707.97,7.5848675e-07,7.4605543e-07,6.8345464e-08,9.753485e-08,1.4644703e-05,0.104555786,2.9918084e-07,1.9941716e-08
712.66,9.61128e-07,7.091753e-07,6.7026235e-08,1.376169e-07,4.460158e-06,0.116490334,2.0192563e-07,3.2920404e-08
717.34,2.7239369e-06,1.1556292e-06,8.178988e-08,1.0033613e-07,1.3441885e-06,0.117634274,2.066275e-07,4.221562e-08
722.03,9.40308e-06,1.038143e-06,8.184673e-08,1.3900606e-07,1.3524286e-06,0.11888757,2.7633772e-07,2.9525053e-08
726.71,2.4697322e-06,1.7037908e-06,9.145239e-08,1.713072e-07,1.1548905e-06,0.118037075,4.4518765e-07,4.436528e-08
731.4,3.643961e-06,2.7839824e-06,7.573921e-08,1.4162852e-07,1.0480878e-06,0.11700262,1.055163e-06,3.2919544e-08
736.08,9.142939e-06,2.7371211e-06,5.952644e-08,1.6291081e-07,7.2000256e-07,0.11517853,2.5608738e-06,4.7386674e-08
740.77,3.9310442e-05,4.3582145e-06,7.996659e-08,1.1970623e-07,2.5873044e-07,0.09396339,5.7456677e-06,3.0944488e-08
745.45,5.75823e-06,5.5706823e-06,6.0535825e-08,1.378476e-07,1.2022637e-07,0.037591264,1.3164117e-05,4.702915e-08
750.14,5.9863532e-06,3.5880412e-06,8.256477e-08,1.2438456e-07,9.621502e-08,0.003385622,3.495029e-05,5.6386767e-08
754.83,7.000457e-05,4.340777e-06,8.263184e-08,1.1261848e-07,4.7342123e-08,0.00027592125,0.00013030658,3.8071835e-08
759.51,1.2680877e-05,5.5678956e-06,8.0158586e-08,1.0025018e-07,2.1295698e-07,3.8459584e-05,0.000519196,3.620889e-08
764.2,1.6432076e-06,3.3572792e-06,1.01265826e-07,1.0328115e-07,7.028513e-07,8.401001e-06,0.0022032592,4.005324e-08
768.88,6.5247883e-07,2.652951e-06,1.02831386e-07,8.805183e-08,5.593767e-07,1.6791541e-06,0.008900057,2.471833e-08
773.57,6.09313e-07,3.6725198e-06,2.8319462e-07,6.2658e-08,6.7987577e-07,7.347262e-07,0.029316835,5.0706298e-08
778.25,1.299936e-06,3.1707436e-06,1.6865197e-07,7.9736495e-08,4.1078673e-07,4.1823483e-07,0.045681424,2.4085352e-08
