wavelength_nm,Coastal_Blue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
847.8,3.1316051e-06,7.455895e-06,2.1723803e-08,1.79472e-06,5.8506924e-07,5.2395727e-08,0.040579394,0.00012676902
852.96,3.067397e-06,5.069216e-06,2.6707943e-07,1.431672e-06,5.8155535e-07,3.3234116e-08,0.038989678,0.00067589263
858.12,3.452126e-06,3.5009666e-06,3.1571506e-07,1.2060387e-06,5.6380446e-07,1.1849623e-07,0.03852529,0.0077285785
863.28,2.3968405e-06,2.2876786e-06,1.220592e-08,8.1726887e-07,6.9611076e-07,6.859969e-07,0.036853075,0.034388416
868.43,1.7748993e-06,2.06703e-06,1.2887931e-07,8.1971865e-07,8.5327036e-07,1.4823548e-06,0.035034154,0.051778536
873.59,1.9501315e-06,2.3629225e-06,1.2259596e-07,8.197651e-07,5.7084065e-07,8.001422e-07,0.033541486,0.052997816
878.75,1.7765265e-06,3.3398544e-06,4.8730016e-07,4.4246624e-07,5.8294125e-07,9.636834e-07,0.03206145,0.05333775
883.91,2.0778798e-06,2.8654129e-06,8.601326e-07,5.2231394e-07,6.090706e-07,1.0276739e-06,0.031016508,0.05210183
889.06,1.1678625e-06,2.2176212e-06,7.3961417e-07,4.384675e-07,4.0062432e-07,1.0654403e-06,0.027831258,0.05012383
894.22,1.0102951e-06,1.9208994e-06,6.5316215e-07,4.2176282e-07,4.451581e-07,1.8581117e-06,0.01644273,0.048836462
899.38,2.0165446e-06,1.7456888e-06,6.180183e-07,5.565098e-07,5.0299496e-07,2.3229984e-06,0.004692579,0.047754608
904.54,1.8812168e-06,1.7071751e-06,5.030434e-07,5.46586e-07,3.8184774e-07,2.3734672e-06,0.0008455585,0.04626735
909.69,1.5943486e-06,1.6957326e-06,4.9169626e-07,4.6522365e-07,3.6382372e-07,2.3616874e-06,0.00014626769,0.04495352
914.85,1.0473633e-06,1.7535452e-06,5.0837565e-07,3.4858212e-07,3.1400253e-07,2.0752277e-06,6.9313384e-05,0.043212347
920.01,6.7515856e-07,1.5028561e-06,5.4053794e-07,2.7656571e-07,2.42232e-07,1.6640588e-06,4.7856724e-05,0.041349992
925.17,4.3554488e-07,1.4055844e-06,4.902802e-07,2.4874655e-07,2.8586354e-07,1.043297e-06,4.138366e-05,0.03978615
930.32,3.281273e-07,1.2362399e-06,4.4074932e-07,1.4067777e-07,2.7685286e-07,5.7581957e-07,3.8045237e-05,0.03769966
935.48,2.7773152e-07,1.1031443e-06,3.1914618e-07,1.7982258e-07,1.795432e-07,4.0149106e-07,3.6048794e-05,0.035101444
940.64,3.3266355e-07,9.96074e-07,2.866506e-07,9.8408584e-08,1.517088e-07,2.4644325e-07,3.091466e-05,0.03284074
945.8,4.1261177e-07,8.079064e-07,2.2821744e-07,1.2437327e-07,1.0900292e-07,1.8218033e-07,1.4516817e-05,0.030271232
950.95,4.727329e-07,6.2526584e-07,1.8002821e-07,1.1055402e-07,1.0175653e-07,1.3098932e-07,1.9320777e-07,0.027924042
956.11,6.2295663e-07,6.284747e-07,2.23026e-07,1.2449254e-07,1.0542386e-07,9.703354e-08,1.3490296e-07,0.025906235
961.27,6.443538e-07,7.722964e-07,1.8018036e-07,1.1132461e-07,9.10183e-08,9.14655e-08,9.212461e-08,0.023801867
966.43,5.5494274e-07,1.0790752e-06,1.5199146e-07,1.05659126e-07,6.5321366e-08,7.578389e-08,5.3310195e-08,0.022015551
971.58,4.4126125e-07,1.3583009e-06,1.4320904e-07,1.0520847e-07,6.274033e-08,7.8593594e-08,5.011986e-08,0.020344222
976.74,4.3722403e-07,1.414476e-06,1.2285024e-07,1.05565164e-07,6.478378e-08,8.156744e-08,3.8837936e-08,0.018903809
981.9,4.3179065e-07,1.119252e-06,1.122828e-07,1.1266771e-07,5.513114e-08,5.8155035e-08,3.6530622e-08,0.017582417
987.06,5.726407e-07,7.672395e-07,1.0801711e-07,1.8723378e-07,5.377743e-08,7.64447e-08,3.649562e-08,0.016420702
992.21,5.0503303e-07,5.3736795e-07,9.021125e-08,2.1908758e-07,4.4814527e-08,6.5006844e-08,3.0263525e-08,0.015130051
997.37,3.840618e-07,5.043144e-07,1.0647021e-07,2.489851e-07,5.3758747e-08,6.555747e-08,3.1718667e-08,0.013956251
1002.53,2.8298498e-07,5.13828e-07,1.06600204e-07,1.9343088e-07,5.382515e-08,5.2445973e-08,2.6093302e-08,0.012991805
1007.69,2.506174e-07,4.5100444e-07,1.3091471e-07,1.346168e-07,4.4372193e-08,5.2395727e-08,2.589677e-08,0.012108558
1012.84,2.5149006e-07,2.972965e-07,1.6336125e-07,5.5974393e-08,5.3468373e-08,5.2395727e-08,2.085464e-08,0.011065834
1018.0,3.2973577e-07,2.0387657e-07,1.4827029e-07,5.5329366e-08,3.5885574e-08,5.1081773e-08,1.4445082e-08,0.009944223
